team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No
Germany,E,UEFA,10,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",No
Curaçao,E,CONCACAF,81,Dick Advocaat,First appearance,Yes
Ivory Coast,E,CAF,33,Emerse Faé,"Group stage (2006,2010,2014)",No
Ecuador,E,CONMEBOL,24,Sebastián Beccacece,Round of 16 (2006),No
Netherlands,F,UEFA,7,Ronald Koeman,"Runner-up (1974,1978,2010)",No
Japan,F,AFC,18,Hajime Moriyasu,"Round of 16 (2002,2010,2018,2022)",No
Sweden,F,UEFA,39,Jon Dahl Tomasson,Runner-up (1958),No
Tunisia,F,CAF,40,Faouzi Benzarti,Group stage (6 apps),No
Belgium,G,UEFA,9,Domenico Tedesco,Semi-finals (2018),No
Egypt,G,CAF,29,Hossam El-Badry,Round of 16 (1934),No
Iran,G,AFC,21,Amir Ghalenoei,Group stage (6 apps),No
New Zealand,G,OFC,95,Darren Bazeley,"Group stage (1982,2010)",No
Spain,H,UEFA,2,Luis de la Fuente,Winners (2010),No
Cape Verde,H,CAF,70,Pedro Brito,First appearance,Yes
Saudi Arabia,H,AFC,57,Roberto Mancini,Round of 16 (1994),No
Uruguay,H,CONMEBOL,17,Marcelo Bielsa,"Winners (1930,1950)",No
France,I,UEFA,1,Didier Deschamps,"Winners (1998,2018)",No
Senegal,I,CAF,14,Aliou Cissé,Quarter-finals (2002),No
Norway,I,UEFA,44,Ståle Solbakken,"Round of 16 (1994,1998)",No
Iraq,I,AFC,61,Graham Arnold,Group stage (1986),No
Argentina,J,CONMEBOL,3,Lionel Scaloni,"Winners (1978,1986,2022)",No
Algeria,J,CAF,36,Vladimir Petkovic,Round of 16 (2014),No
Austria,J,UEFA,23,Ralf Rangnick,Third place (1954),No
Jordan,J,AFC,68,Hussain Ammouta,First appearance,Yes
Portugal,K,UEFA,5,Roberto Martínez,"Semi-finals (1966,2006)",No
DR Congo,K,CAF,51,Sébastien Desabre,Group stage (1974),No
Uzbekistan,K,AFC,62,Srecko Katanec,First appearance,Yes
Colombia,K,CONMEBOL,13,Néstor Lorenzo,Quarter-finals (2014),No
England,L,UEFA,4,Thomas Tuchel,Winners (1966),No
Croatia,L,UEFA,11,Zlatko Dalić,Runner-up (2018),No
Ghana,L,CAF,65,Otto Addo,Quarter-finals (2010),No
Panama,L,CONCACAF,53,Thomas Christiansen,Group stage (2018),No
